name,isin,as_of_date
WIPRO LTD,INE075A01022,2026-06-30
BAJAJ FINSERV LTD,INE918I01026,2026-06-30
TATA COMMUNICATIONS LTD,INE151A01013,2026-06-30
OBEROI REALTY LTD,INE093I01010,2026-06-30
BAJAJ HOLDINGS AND INVESTMENT LTD,INE118A01012,2026-06-30
HDFC ASSET MANAGEMENT COMPANY LTD,INE127D01025,2026-06-30
COAL INDIA LTD,INE522F01014,2026-06-30
HCL TECHNOLOGIES LTD,INE860A01027,2026-06-30
JINDAL STAINLESS LTD,INE220G01021,2026-06-30
ADANI GREEN ENERGY LTD,INE364U01010,2026-06-30
HAVELLS INDIA LTD,INE176B01034,2026-06-30
PIDILITE INDUSTRIES LTD,INE318A01026,2026-06-30
GMR AIRPORTS LTD,INE776C01039,2026-06-30
GRASIM INDUSTRIES LTD,INE047A01021,2026-06-30
VOLTAS LTD,INE226A01021,2026-06-30
ITC LTD,INE154A01025,2026-06-30
KNOWLEDGE REALTY TRUST,INE1JAR25012,2026-06-30
L&amp;T TECHNOLOGY SERVICES LTD,INE010V01017,2026-06-30
SOLAR INDUSTRIES INDIA LTD,INE343H01029,2026-06-30
SJVN LTD,INE002L01015,2026-06-30
INDIAN RAILWAY FINANCE CORP LTD,INE053F01010,2026-06-30
TATA MOTORS PASSENGER VEHICLES LTD,INE155A01022,2026-06-30
ICICI BANK LTD,INE090A01021,2026-06-30
ICICI PRUDENTIAL LIFE INSURANCE CO LTD,INE726G01019,2026-06-30
BAYER CROPSCIENCE LTD,INE462A01022,2026-06-30
STAR HEALTH AND ALLIED INSURANCE CO LTD,INE575P01011,2026-06-30
TATA TECHNOLOGIES LTD,INE142M01025,2026-06-30
ADANI TOTAL GAS LTD,INE399L01023,2026-06-30
MANKIND PHARMA LTD,INE634S01028,2026-06-30
UNITED SPIRITS LTD,INE854D01024,2026-06-30
ULTRATECH CEMENT LTD,INE481G01011,2026-06-30
ALKEM LABORATORIES LTD,INE540L01014,2026-06-30
AXIS BANK LTD,INE238A01034,2026-06-30
STATE BANK OF INDIA,INE062A01020,2026-06-30
APOLLO HOSPITALS ENTERPRISES LTD,INE437A01024,2026-06-30
PHOENIX MILLS LTD (THE),INE211B01039,2026-06-30
ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD,INE742F01042,2026-06-30
BHARAT DYNAMICS LTD,INE171Z01026,2026-06-30
TATA ELXSI LTD,INE670A01012,2026-06-30
HOUSING &amp; URBAN DEVELOPMENT CORP LTD,INE031A01017,2026-06-30
AIA ENGINEERING LTD,INE212H01026,2026-06-30
MAX HEALTHCARE INSTITUTE LTD,INE027H01010,2026-06-30
BANK OF INDIA LTD,INE084A01016,2026-06-30
LUPIN LTD,INE326A01037,2026-06-30
THERMAX LTD,INE152A01029,2026-06-30
TATA MOTORS LTD,INE1TAE01010,2026-06-30
APL APOLLO TUBES LTD,INE702C01027,2026-06-30
LENSKART SOLUTIONS LTD,INE956O01016,2026-06-30
ENDURANCE TECHNOLOGIES LTD,INE913H01037,2026-06-30
GE VERNOVA T&amp;D INDIA LTD,INE200A01026,2026-06-30
MAHINDRA &amp; MAHINDRA FINANCIAL SERVICES LTD,INE774D01024,2026-06-30
DIVI'S LABORATORIES LTD,INE361B01024,2026-06-30
TVS MOTOR CO LTD,INE494B01023,2026-06-30
